m,w,d,wdRatio,SCcomp,SCtheor,theta1,theta2,theta3,theta4,theta5
4,7.65,51,0.15,0.514812888888889,0.523897274573418,12.5368004395881,54.3092135402678,40.5234706401748,0,0
4,20.4,51,0.4,0.824850222222222,0.646290294621859,44.732764422103,44.1760473357983,33.7116855168982,0,0
2,13.25,53,0.25,0.457656,0.438959968979379,8.04737596972094,0,0,0,0
3,20,50,0.4,0.781165333333333,0.669469807107075,14.5491935362032,3.22526353252283,0,0,0
4,2.95,59,0.05,0.214972444444444,0.212170880069836,11.7994914820579,5.60223100530558,18.4420139752752,0,0
4,3,60,0.05,0.240800888888889,0.212170880069836,19.9255700071499,17.8408089532753,3.72271327917796,0,0
3,2.75,55,0.05,0.149272888888889,0.162014911398325,45.6855532014068,37.8641999528156,0,0,0
2,2.9,58,0.05,0.116762222222222,0.109934441829515,54.3080846534143,0,0,0,0
4,2.95,59,0.05,0.214966222222222,0.212170880069836,20.2858631281303,17.638383181589,44.7788056622208,0,0
2,2.85,57,0.05,0.105190222222222,0.109934441829515,36.2080790298462,0,0,0,0
4,17.1,57,0.3,0.768106222222222,0.709948452238572,46.8826231079566,17.2786185368503,41.5519191831911,0,0
4,10,50,0.2,0.620345333333333,0.623452789007165,46.8105318894704,20.2550318431227,36.4719544357767,0,0
5,2.55,51,0.05,0.268085777777778,0.260402347844048,32.9724064209119,29.1137645150976,53.4285407510663,47.9376167287728,0
5,2.5,50,0.05,0.273484,0.260402347844048,5.31164758048322,47.9010518468371,56.5804883742422,41.0229343445015,0
2,15.3,51,0.3,0.520414222222222,0.493538290724796,7.04957112910997,0,0,0,0
5,8.55,57,0.15,0.572955111111111,0.611570323027551,44.9478877862111,34.9911438872926,44.4019396792667,14.0896148848743,0
5,23.6,59,0.4,0.872186222222222,0.499942724709524,5.17407179180978,21.9861969791519,22.1519282598011,41.1017083596966,0
4,18.9,54,0.35,0.811728,0.69688860103623,12.3616715703117,5.19999284373194,46.3160350259464,0,0
3,11.2,56,0.2,0.522833777777778,0.513777613290544,13.737195121386,38.5164372239512,0,0,0
4,5.8,58,0.1,0.373027555555556,0.386803304927642,6.03637934174529,17.6439800255177,14.2423811823348,0,0
4,2.7,54,0.05,0.195508888888889,0.212170880069836,6.29077482694539,6.7370377293616,47.0656734446348,0,0
3,15,60,0.25,0.599141333333333,0.586271169820366,25.9490996382217,41.6851316770764,0,0,0
5,11.4,57,0.2,0.697439555555556,0.702335950367007,6.5853030433831,56.0255909031199,11.2476483853012,15.9707303344583,0
5,11.6,58,0.2,0.695983111111111,0.702335950367007,23.7604047130725,16.3763276474214,2.23407804421968,40.3976948465192,0
4,11.2,56,0.2,0.62548,0.623452789007165,3.56419781149663,18.948686300332,46.3633278517761,0,0
5,5.1,51,0.1,0.454818222222222,0.464259122186565,5.54114032315209,0.469217614160093,25.38656310985,39.3343904962749,0
5,12.75,51,0.25,0.749458666666667,0.736556004204932,37.9059824117093,7.58999191975817,8.05819825881448,5.91564556265986,0
2,5.2,52,0.1,0.228373333333333,0.208797659642211,19.0487865089661,0,0,0,0
3,5.2,52,0.1,0.321908444444444,0.301649484079524,53.5753443171586,42.1933934733775,0,0,0
4,5.2,52,0.1,0.406027111111111,0.386803304927642,4.64080848676061,54.8280246467741,42.4029130618158,0,0
4,7.65,51,0.15,0.493770666666667,0.523897274573418,37.3498355567937,59.2760840971497,10.225921383413,0,0
3,10,50,0.2,0.520382666666667,0.513777613290544,41.0457640177205,24.1432999617697,0,0,0
6,11.2,56,0.2,0.752898666666667,0.750427097370068,9.26218832875634,22.8807122666683,9.66803831096165,45.4867458796451,52.2666673149234
3,15.9,53,0.3,0.664632,0.636384387633061,31.8377582314131,49.945403177111,0,0,0
4,7.95,53,0.15,0.508491111111111,0.523897274573418,27.1555524941594,25.3587391932277,21.5763790783341,0,0
4,16.2,54,0.3,0.777416,0.709948452238572,25.7613473145723,7.49236552318877,1.46604096302244,0,0
3,8.55,57,0.15,0.412031555555556,0.418903718043597,57.416155444241,56.1438523670928,0,0,0
4,5.8,58,0.1,0.349812888888889,0.386803304927642,45.5596429878658,44.4388838987169,44.6213004892396,0,0
2,16.5,55,0.3,0.513104444444444,0.493538290724796,12.7297923152961,0,0,0,0
2,17.85,51,0.35,0.575042222222222,0.537045388453393,9.81419458709959,0,0,0,0
5,22,55,0.4,0.924453333333333,0.499942724709524,42.1621384170285,9.21542259716401,57.2074241931749,32.4530448744886,0
5,2.9,58,0.05,0.265312,0.260402347844048,44.9171323065718,7.21122107922484,31.5027098857565,19.550017725795,0
4,10.8,54,0.2,0.596225777777778,0.623452789007165,10.8442656152877,15.323204429283,1.23214647949107,0,0
6,18,60,0.3,0.892017777777778,0.649230484541327,9.81074211165154,55.2658353535318,47.6794731233252,34.6436518023989,26.4021357456152
3,18.2,52,0.35,0.730066666666667,0.664117266728631,3.85122524351392,46.0397706465945,0,0,0
5,17.1,57,0.3,0.846566222222222,0.714230484541327,25.142897617493,23.4457249322505,48.9684061725194,19.045671819351,0
6,20.65,59,0.35,0.927508444444444,0.479529637748512,30.3381970543054,38.1396833316826,57.0536649226881,26.6378493011286,3.60112918676856
6,15.9,53,0.3,0.887872888888889,0.649230484541327,59.8201962963989,13.4502899389876,39.1470643781169,36.2994385144956,23.2347258889881
2,2.7,54,0.05,0.105144888888889,0.109934441829515,11.0460173656507,0,0,0,0
5,8.85,59,0.15,0.584574666666667,0.611570323027551,44.0537814715988,34.2615523694627,10.6113034575182,57.4430413557434,0
3,20.8,52,0.4,0.775862222222222,0.669469807107075,22.4138284585587,5.25002097459514,0,0,0
5,5,50,0.1,0.458162666666667,0.464259122186565,43.3904087509857,20.8462587349074,39.6370094701742,23.0321160643183,0
5,3,60,0.05,0.289632444444444,0.260402347844048,48.0335193767287,44.7508490605633,48.7867688166456,22.9983791175318,0
5,13.75,55,0.25,0.790145333333333,0.736556004204932,16.5041853493161,14.9177375797182,27.0983262271184,13.6627695615929,0
6,20,50,0.4,0.946356444444444,0.230427097370068,32.1398514400343,5.22463319405354,48.1254864333482,59.3486945820204,4.01677550386501
6,2.85,57,0.05,0.283685333333333,0.306709314720961,47.0241888049931,32.0482540729637,53.1215670558685,53.9402939343684,37.5562575648297
2,5.2,52,0.1,0.229612444444444,0.208797659642211,2.50919183837726,0,0,0,0
